tconst;averageRating;numVotes;Title;startYear;runtimeMinutes;genres;director
tt3746920;3.5;1088;Hayat Sana Güzel;2014;112;Comedy;Murat Seker
tt1506999;5.8;88867;Haywire;2011;93;Action,Drama,Thriller;Steven Soderbergh
tt0411469;7.9;5138;Hazaaron Khwaishein Aisi;2003;120;Drama;Sudhir Mishra
tt0491399;6.4;2968;Haze;2005;49;Horror,Mystery;Shin'ya Tsukamoto
tt1666364;7;1165;HDSP: Hunting Down Small Predators;2010;100;Drama,Romance,Thriller;Cvetodar Markov
tt0172543;7;3945;He Died with a Felafel in His Hand;2001;107;Comedy,Romance;Richard Lowenstein
tt5256722;6.2;3228;He Even Has Your Eyes;2016;95;Comedy;Lucien Jean-Baptiste
tt0124718;6.9;50407;He Got Game;1998;136;Drama,Sport;Spike Lee
tt0080850;5;4033;He Knows You're Alone;1980;94;Horror,Thriller;Armand Mastroianni
tt0291579;7.1;19364;He Loves Me, He Loves Me Not;2002;92;Romance,Thriller;Laetitia Colombani
tt3065132;7;4751;He Named Me Malala;2015;88;Biography,Documentary;Davis Guggenheim
tt2386404;6.3;21694;He Never Died;2015;99;Comedy,Drama,Fantasy;Jason Krawczyk
tt0043625;7;2909;He Ran All the Way;1951;77;Crime,Drama,Film-Noir;John Berry
tt0102011;5.7;7217;He Said, She Said;1991;115;Comedy,Drama,Romance;
tt0040427;7.1;6466;He Walked by Night;1948;79;Crime,Film-Noir,Thriller;
tt0760311;6.7;23003;He Was a Quiet Man;2007;100;Drama,Romance,Thriller;Frank A. Cappello
tt2740538;3;1090;He Who Dares;2014;82;Action,Crime,Thriller;Paul Tanter
tt0014972;7.8;4112;He Who Gets Slapped;1924;95;Drama,Romance,Thriller;Victor Sjöström
tt0063049;6.4;6703;Head;1968;86;Comedy,Fantasy,Musical;Bob Rafelson
tt0107121;6.5;1217;Head Above Water;1993;97;Comedy,Thriller;Nils Gaup
tt0116502;6;8066;Head Above Water;1996;92;Comedy,Thriller;Jim Wilson
tt15282172;6.2;1228;Head Bush;2022;138;Action,Biography,Crime;
tt7350614;5.4;4553;Head Count;2018;90;Horror,Mystery,Thriller;Elle Callahan
tt3488462;6.5;6947;Head Full of Honey;2014;139;Comedy,Drama,Family;
tt5836706;5.5;2576;Head Full of Honey;2018;127;Comedy,Drama;Til Schweiger
tt0338097;6.5;15625;Head in the Clouds;2004;132;Drama,Romance,War;John Duigan
tt0325537;5.5;20856;Head of State;2003;95;Comedy;Chris Rock
tt0116503;5.3;2539;Head of the Family;1996;82;Comedy,Horror;Charles Band
tt0091183;5.4;1694;Head Office;1985;90;Comedy;Ken Finkleman
tt0138487;6.6;4557;Head On;1998;104;Drama,Romance;Ana Kokkinos
tt0192111;5.4;15037;Head Over Heels;2001;86;Comedy,Mystery,Romance;Mark Waters
tt1564916;5.6;2494;Head Over Heels;2010;101;Comedy;Roberto Santucci
tt2296709;5.8;1374;Head Over Heels 2;2012;115;Comedy,Romance;Roberto Santucci
tt28306747;6.1;2294;Head to Head;2023;95;Comedy,Thriller;Malik Nejer
tt1322315;6.6;2304;Headhunter;2009;108;Thriller;Rumle Hammerich
tt1614989;7.5;105332;Headhunters;2011;100;Action,Crime,Thriller;Morten Tyldum
tt0381690;6.3;2843;Heading South;2005;108;Drama;Laurent Cantet
tt3922350;4.9;1470;Headless;2015;85;Horror;Arthur Cullipher
tt1046930;3.9;1180;Headless Horseman;2007;87;Horror;Anthony C. Ferrante
tt20189996;8.6;1170;Headmaster;2022;\N;Drama;Rajeev Nath
tt0347048;7.9;56436;Head-On;2004;121;Drama,Romance;Fatih Akin
tt1682186;6.1;1827;Headshot;2011;105;Crime,Drama,Thriller;Pen-Ek Ratanaruang
tt5147214;6.3;15744;Headshot;2016;118;Action,Drama,Thriller;
tt0417745;4.6;2041;Headspace;2005;89;Horror,Mystery,Sci-Fi;Andrew van den Houten
tt1730689;6.4;1566;Headwinds;2011;91;Drama,Mystery;Jalil Lespert
tt5239942;7;2782;Heal;2017;106;Documentary;Kelly Noonan
tt5096536;6.8;3504;Heal the Living;2016;103;Drama;Katell Quillévéré
tt2310792;6.7;1077;Healing;2014;112;Drama;Craig Monahan
tt1562328;7.4;3304;Hear Me;2009;109;Drama,Romance;Fen-fen Cheng
tt0102014;7;1894;Hear My Song;1991;113;Comedy,Drama,Music;Peter Chelsom
tt0107090;5;1339;Hear No Evil;1993;97;Thriller;Robert Greenwald
tt0107091;7;18491;Heart and Souls;1993;104;Comedy,Drama,Fantasy;Ron Underwood
tt4964598;7.7;2879;Heart Attack;2015;130;Comedy,Drama,Romance;Nawapol Thamrongrattanarit
tt7609180;6.6;1008;Heart Blackened;2017;125;Crime,Drama;Ji-woo Jung
tt2081259;5.6;1439;Heart Broken;2009;110;Drama,Romance;Ali Rooyintan
tt0099750;5.5;3883;Heart Condition;1990;100;Comedy,Crime,Drama;James D. Parriott
tt0085656;6.7;1531;Heart Like a Wheel;1983;113;Biography,Drama,Romance;Jonathan Kaplan
tt4935446;7;2492;Heart of a Dog;2015;75;Documentary;Laurie Anderson
tt2343617;7;4067;Heart of a Lion;2013;104;Drama,Romance;Dome Karukoski
tt0279037;4.4;2694;Heart of America;2002;87;Drama;Uwe Boll
tt0091427;6.3;5063;Heart of Dragon;1985;98;Action,Comedy,Crime;
tt0074626;6.8;6437;Heart of Glass;1976;94;Drama;Werner Herzog
tt10314548;5.9;1981;Heart of Champions;2021;119;Drama,Sport;Michael Mailer
tt0095286;5.4;1665;Heart of Midnight;1988;93;Drama,Horror,Thriller;Matthew Chapman
tt13603966;5.7;47273;Heart of Stone;2023;122;Action,Crime,Thriller;Tom Harper
tt2231251;5.7;1488;Heart of the Country;2013;89;Drama,Family,Romance;John Ward
tt0205843;5.5;1029;Heart of the Warrior;1999;110;Action,Adventure,Drama;Daniel Monzón
tt3171886;6.3;2160;Heart Street;2014;90;Romance;Sanne Vogel
tt11127512;3.4;1351;Heartbeat;2020;73;Thriller;Gregory Hatanaka
tt0765141;6.1;1231;Heartbeat Detector;2007;143;Drama,History,Music;Nicolas Klotz
tt1600524;7.1;29946;Heartbeats;2010;101;Drama,Romance;Xavier Dolan
tt0082507;4.2;1622;Heartbeeps;1981;78;Comedy,Sci-Fi;Allan Arkush
tt0095288;5.7;1482;Heartbreak Hotel;1988;97;Comedy,Musical,Romance;Chris Columbus
tt0785002;5.3;1590;Heartbreak Hotel;2006;110;Comedy,Drama,Music;Colin Nutley
tt0091187;6.8;46768;Heartbreak Ridge;1986;130;Drama,War;Clint Eastwood
tt1465487;6.7;27299;Heartbreaker;2010;105;Comedy,Romance;Pascal Chaumeil
tt0125022;6.2;56845;Heartbreakers;2001;123;Comedy,Crime,Romance;David Mirkin
tt0091188;6.1;12045;Heartburn;1986;108;Comedy,Drama;Mike Nichols
tt0082508;7.3;1173;Heartland;1979;96;Drama,Western;Richard Pearce
tt0295303;6.8;1269;Heartlands;2002;91;Comedy,Drama;Damien O'Donnell
tt1220214;5.9;10292;Heartless;2009;114;Drama,Fantasy,Horror;Philip Ridley
tt0116506;6.2;3327;Hearts & Minds;1995;100;Drama,History,Thriller;Ralph Ziman
tt0071604;8.2;5969;Hearts and Minds;1974;112;Documentary,History,War;Peter Davis
tt7158430;6.9;11457;Hearts Beat Loud;2018;97;Comedy,Drama,Music;Brett Haley
tt11388822;6.1;1031;Hearts Down Under;2020;85;Romance;Rosie Lourde
tt0252501;6.9;40235;Hearts in Atlantis;2001;101;Drama,Mystery;Scott Hicks
tt0102015;8.1;22592;Hearts of Darkness: A Filmmaker's Apocalypse;1991;96;Documentary;
tt0073096;6.5;1691;Hearts of the West;1975;102;Comedy,Western;Howard Zieff
tt0009150;6.6;1079;Hearts of the World;1918;117;Drama,War;D.W. Griffith
tt0904127;5;1118;Hearts of War;2007;96;Drama;Damian Lee
tt21339860;5.8;1836;Heartsong;2022;95;Comedy,Drama,Music;Soner Caner
